2002-2003,Villarreal
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Jorge López,es ESP,MF,36,36,2,8,"3,090",34.3,7,0,/en/players/cf66479e/Jorge-Lopez,cf66479e,Jorge-Lopez
Pepe Reina,es ESP,GK,33,33,0,0,"2,970",33.0,3,0,/en/players/e358587b/Pepe-Reina,358587b,Pepe-Rei
Sergio Ballesteros,es ESP,DF,33,33,0,0,"2,965",32.9,10,1,/en/players/29863c56/Sergio-Ballesteros,29863c56,Sergio-Ballestero
Rodolfo Arruabarrena,ar ARG,DF,32,32,4,0,"2,718",30.2,14,1,/en/players/fbd07266/Rodolfo-Arruabarrena,fbd07266,Rodolfo-Arruab
Juliano Belletti,br BRA,"DF,MF",31,31,3,3,"2,713",30.1,6,1,/en/players/a4432ca2/Juliano-Belletti,4432ca2,Juliano-Belletti
Víctor,es ESP,FW,34,30,4,8,"2,634",29.3,3,0,/en/players/00979380/Victor,00979380,Victo
Quique Álvarez,es ESP,DF,31,30,0,0,"2,590",28.8,9,1,/en/players/7ddc4550/Quique-Alvarez,7ddc4550,Quique-Alvarez
Martín Palermo,ar ARG,FW,34,28,3,7,"2,619",29.1,4,0,/en/players/02aa1dbe/Martin-Palermo,02aa1dbe,Martin-Palermo
Josico,es ESP,"FW,MF",30,26,1,2,"2,106",23.4,7,0,/en/players/1d2fe5a5/Josico,1d2fe5a5,Josico
Antonio Guayre,es ESP,"FW,MF",34,25,2,4,"2,089",23.2,5,1,/en/players/82cf603f/Antonio-Guayre,82cf603f,Antonio-Gu
Javier Farinós,es ESP,MF,22,21,1,2,"1,795",19.9,4,0,/en/players/d9b0f08e/Javier-Farinos,d9b0f08e,Javier-Farino
Unai Vergara,es ESP,DF,18,17,0,1,"1,372",15.2,9,2,/en/players/c9d08ea0/Unai-Vergara,c9d08ea0,Unai-Verg
Marcos Senna,es ESP,MF,16,16,1,2,"1,360",15.1,3,0,/en/players/ad6cbdbe/Marcos-Senna,d6cbdbe,Marcos-S
Quique Medina,es ESP,DF,19,10,0,0,"1,010",11.2,2,0,/en/players/0aa5e053/Quique-Medina,0aa5e053,Quique-Medi
Javier Calleja,es ESP,MF,27,9,3,2,"1,013",11.3,2,0,/en/players/3c99e7de/Javier-Calleja,3c99e7de,Javier-Callej
Antonio de Nigris,mx MEX,FW,15,9,0,2,943,10.5,2,0,/en/players/0b016a13/Antonio-de-Nigris,0b016a13,Antonio-de-Nigri
Jesús Galván,es ESP,DF,11,9,0,0,779,8.7,2,0,/en/players/5f605a71/Jesus-Galvan,5f605a71,Jesus-Galv
Iñaki Berruet,es ESP,DF,9,6,1,0,631,7.0,2,0,/en/players/9fd5c7b8/Inaki-Berruet,9fd5c7b8,Inaki-Berruet
Javi Venta,es ESP,DF,17,5,1,0,677,7.5,3,0,/en/players/fc3efd36/Javi-Venta,fc3efd36,Javi-Vent
Javier López Vallejo,es ESP,GK,4,4,0,0,360,4.0,0,0,/en/players/54562263/Javier-Lopez-Vallejo,54562263,Javier-Lopez-Vallejo
Javi Gracia,es ESP,MF,8,2,0,0,221,2.5,1,0,/en/players/f46017c3/Javi-Gracia,f46017c3,Javi-Graci
Constantin Gâlcă,ro ROU,MF,3,2,0,0,156,1.7,1,0,/en/players/624ddea0/Constantin-Galca,624ddea0,Constantin-Galc
Rubén Reyes,es ESP,MF,5,1,0,0,104,1.2,0,0,/en/players/770a119c/Ruben-Reyes,770a119c,Ruben-R
César Arzo,es ESP,"DF,MF",2,1,0,0,93,1.0,0,0,/en/players/0ea37b10/Cesar-Arzo,0ea37b10,Cesar-Arzo
Jesús Unanua,es ESP,GK,1,1,0,0,90,1.0,0,0,/en/players/a592fec8/Jesus-Unanua,592fec8,Jesus-Unanu
Héctor Font,es ESP,MF,2,1,0,0,77,0.9,0,0,/en/players/9982593d/Hector-Font,9982593d,Hector-Font
Carlos Aranda,es ESP,FW,8,0,0,1,132,1.5,2,0,/en/players/2b60c45d/Carlos-Aranda,2b60c45d,Carlos-Arand
Xisco Nadal,es ESP,"FW,MF",5,0,0,1,52,0.6,0,0,/en/players/5dc11264/Xisco-Nadal,5dc11264,Xisco-Nad
José María Cases,es ESP,MF,1,0,0,0,28,0.3,0,0,/en/players/34aafecf/Jose-Maria-Cases,34aafecf,Jose-Maria-C
Verza,es ESP,MF,1,0,0,0,22,0.2,0,0,/en/players/f972b073/Verza,f972b073,Verz
