Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB
,﻿Sylvain Monsoreau,fr FRA,DF,37,36,0.0,2.0,2002-2003,8aaad440,Sochaux,"3,257",36.2,4.0,0.0,82.0,4.0,
,Maxence Flachez,fr FRA,DF,36,36,3.0,1.0,2002-2003,854d0707,Sochaux,"3,240",36.0,2.0,0.0,82.0,4.0,
,Benoît Pedretti,fr FRA,MF,35,35,5.0,3.0,2002-2003,c1c8eff9,Sochaux,"3,150",35.0,8.0,0.0,82.0,4.0,
,Teddy Richert,fr FRA,GK,34,34,0.0,0.0,2002-2003,18b03203,Sochaux,"3,060",34.0,1.0,0.0,82.0,4.0,
,Niša Saveljić,rs SRB,DF,33,33,1.0,2.0,2002-2003,02afae9d,Sochaux,"2,970",33.0,10.0,0.0,82.0,28.0,
,Mickaël Pagis,fr FRA,FW,34,32,5.0,9.0,2002-2003,9381879,Sochaux,"2,749",30.5,11.0,0.0,82.0,4.0,
,Francileudo Santos,tn TUN,FW,31,24,4.0,8.0,2002-2003,600e2331,Sochaux,"2,126",23.6,1.0,0.0,82.0,46.0,
,Johann Lonfat,ch SUI,MF,29,21,0.0,1.0,2002-2003,38b461d,Sochaux,"1,943",21.6,1.0,0.0,82.0,39.0,
,Pierre-Alain Frau,fr FRA,"FW,MF",26,21,5.0,9.0,2002-2003,76618c1e,Sochaux,"1,877",20.9,2.0,0.0,82.0,4.0,
,Michaël Isabey,fr FRA,MF,28,20,1.0,1.0,2002-2003,bbc95c6,Sochaux,"1,812",20.1,3.0,0.0,82.0,4.0,
,Fabien Boudarène,fr FRA,MF,29,19,0.0,1.0,2002-2003,43a87c8,Sochaux,"1,800",20.0,2.0,0.0,82.0,4.0,
,Wilson Oruma,ng NGA,MF,26,17,2.0,3.0,2002-2003,fde1cd6a,Sochaux,"1,541",17.1,1.0,0.0,82.0,52.0,
,Philippe Raschke,fr FRA,DF,20,17,0.0,1.0,2002-2003,b3c7019a,Sochaux,"1,476",16.4,2.0,0.0,82.0,4.0,
,Jérémy Mathieu,fr FRA,DF,22,17,2.0,4.0,2002-2003,5b887c7a,Sochaux,"1,391",15.5,6.0,0.0,82.0,4.0,
,Ibrahim Tall,sn SEN,DF,19,13,0.0,0.0,2002-2003,c6d6ec3c,Sochaux,"1,259",14.0,5.0,1.0,82.0,34.0,
,Omar Daf,sn SEN,DF,12,12,0.0,0.0,2002-2003,15128a4f,Sochaux,914,10.2,3.0,0.0,82.0,34.0,
,Jean-Jacques Domoraud,ci CIV,DF,12,11,1.0,0.0,2002-2003,148ccbc7,Sochaux,985,10.9,4.0,0.0,82.0,35.0,
,Adel Chedli,tn TUN,MF,9,5,1.0,0.0,2002-2003,8e484ac7,Sochaux,460,5.1,2.0,0.0,82.0,46.0,
,Marcelo Trapasso,ar ARG,MF,9,4,1.0,0.0,2002-2003,9185b3f4,Sochaux,433,4.8,4.0,0.0,82.0,5.0,
,Gérard Gnanhouan,ci CIV,GK,4,4,0.0,0.0,2002-2003,ffa33ba,Sochaux,360,4.0,0.0,0.0,82.0,35.0,
,Jaouad Zairi,ma MAR,"FW,MF",15,3,0.0,0.0,2002-2003,f5a61b4a,Sochaux,406,4.5,0.0,0.0,82.0,26.0,
,Laurent Charvet,fr FRA,DF,3,2,0.0,0.0,2002-2003,c317246f,Sochaux,124,1.4,0.0,0.0,82.0,4.0,
,Virgile Boumelaha,dz ALG,MF,3,1,0.0,0.0,2002-2003,7fd72230,Sochaux,94,1.0,0.0,0.0,82.0,37.0,
,Stéphane Crucet,fr FRA,MF,2,0,0.0,0.0,2002-2003,42c3f60a,Sochaux,59,0.7,0.0,0.0,82.0,4.0,
,William Quevedo,fr FRA,DF,1,0,,0.0,2002-2003,6a691343,Sochaux,46,0.5,1.0,0.0,82.0,4.0,
,Basile de Carvalho,gw GNB,FW,2,0,0.0,0.0,2002-2003,5a6bb46,Sochaux,33,0.4,0.0,0.0,82.0,93.0,
,Kamal Tassali,fr FRA,MF,1,0,,0.0,2002-2003,9728494e,Sochaux,8,0.1,0.0,0.0,82.0,4.0,
,Guirane N'Daw,sn SEN,"DF,MF",1,0,,0.0,2002-2003,cc61ee7a,Sochaux,2,0.0,0.0,0.0,82.0,34.0,
,﻿Pierre-Alain Frau,fr FRA,"FW,MF",36,35,7.0,17.0,2003-2004,76618c1e,Sochaux,"2,873",31.9,3.0,0.0,82.0,4.0,
,Benoît Pedretti,fr FRA,MF,33,33,7.0,2.0,2003-2004,c1c8eff9,Sochaux,"2,948",32.8,6.0,0.0,82.0,4.0,
,Maxence Flachez,fr FRA,DF,32,32,0.0,0.0,2003-2004,854d0707,Sochaux,"2,839",31.5,5.0,0.0,82.0,4.0,
,Sylvain Monsoreau,fr FRA,DF,30,30,1.0,0.0,2003-2004,8aaad440,Sochaux,"2,582",28.7,2.0,0.0,82.0,4.0,
,Michaël Isabey,fr FRA,MF,36,28,4.0,4.0,2003-2004,bbc95c6,Sochaux,"2,523",28.0,1.0,0.0,82.0,4.0,
,Souleymane Diawara,sn SEN,DF,29,28,0.0,2.0,2003-2004,c1de9074,Sochaux,"2,511",27.9,5.0,0.0,82.0,34.0,
,Francileudo Santos,tn TUN,FW,29,27,5.0,14.0,2003-2004,600e2331,Sochaux,"2,259",25.1,1.0,0.0,82.0,46.0,
,Jérémy Mathieu,fr FRA,DF,29,22,3.0,3.0,2003-2004,5b887c7a,Sochaux,"2,090",23.2,6.0,0.0,82.0,4.0,
,Wilson Oruma,ng NGA,MF,24,22,0.0,1.0,2003-2004,fde1cd6a,Sochaux,"1,868",20.8,4.0,1.0,82.0,52.0,
,Teddy Richert,fr FRA,GK,21,21,0.0,0.0,2003-2004,18b03203,Sochaux,"1,890",21.0,0.0,0.0,82.0,4.0,
,Johann Lonfat,ch SUI,MF,29,21,2.0,1.0,2003-2004,38b461d,Sochaux,"1,874",20.8,0.0,0.0,82.0,39.0,
,Ibrahim Tall,sn SEN,DF,22,19,1.0,0.0,2003-2004,c6d6ec3c,Sochaux,"1,746",19.4,3.0,0.0,82.0,34.0,
,Grégory Paisley,fr FRA,DF,24,19,2.0,0.0,2003-2004,9c787be7,Sochaux,"1,633",18.1,2.0,1.0,82.0,4.0,
,Gérard Gnanhouan,ci CIV,GK,17,17,0.0,0.0,2003-2004,ffa33ba,Sochaux,"1,530",17.0,4.0,0.0,82.0,35.0,
,Omar Daf,sn SEN,DF,17,16,0.0,0.0,2003-2004,15128a4f,Sochaux,"1,396",15.5,4.0,0.0,82.0,34.0,
,Fabien Boudarène,fr FRA,MF,21,13,0.0,0.0,2003-2004,43a87c8,Sochaux,"1,245",13.8,4.0,1.0,82.0,4.0,
,Mickaël Pagis,fr FRA,FW,24,11,0.0,3.0,2003-2004,9381879,Sochaux,"1,263",14.0,5.0,0.0,82.0,4.0,
,Jaouad Zairi,ma MAR,"FW,MF",17,8,0.0,3.0,2003-2004,f5a61b4a,Sochaux,731,8.1,3.0,0.0,82.0,26.0,
,Philippe Raschke,fr FRA,DF,18,7,0.0,0.0,2003-2004,b3c7019a,Sochaux,777,8.6,0.0,0.0,82.0,4.0,
,Marcelo Trapasso,ar ARG,MF,16,4,1.0,0.0,2003-2004,9185b3f4,Sochaux,552,6.1,0.0,0.0,82.0,5.0,
,Adel Chedli,tn TUN,MF,4,3,0.0,0.0,2003-2004,8e484ac7,Sochaux,257,2.9,1.0,0.0,82.0,46.0,
,Guirane N'Daw,sn SEN,"DF,MF",6,1,0.0,0.0,2003-2004,cc61ee7a,Sochaux,115,1.3,0.0,1.0,82.0,34.0,
,Aimé Lavie,cg CGO,DF,1,1,0.0,0.0,2003-2004,0f3e3e8,Sochaux,90,1.0,0.0,0.0,82.0,80.0,
,Sigamary Diarra,ml MLI,"FW,MF",1,0,,0.0,2003-2004,9c337a2f,Sochaux,9,0.1,0.0,0.0,82.0,12.0,
,﻿Teddy Richert,fr FRA,GK,37,37,0.0,0.0,2004-2005,18b03203,Sochaux,"3,330",37.0,1.0,0.0,82.0,4.0,
,Romain Pitau,fr FRA,MF,37,34,4.0,1.0,2004-2005,8a45ccf1,Sochaux,"3,029",33.7,6.0,0.0,82.0,4.0,
,Michaël Isabey,fr FRA,MF,36,34,5.0,1.0,2004-2005,bbc95c6,Sochaux,"2,993",33.3,8.0,0.0,82.0,4.0,
,Jérémy Mathieu,fr FRA,DF,34,33,6.0,3.0,2004-2005,5b887c7a,Sochaux,"2,954",32.8,5.0,0.0,82.0,4.0,
,Johann Lonfat,ch SUI,MF,31,28,0.0,0.0,2004-2005,38b461d,Sochaux,"2,491",27.7,4.0,0.0,82.0,39.0,
,Souleymane Diawara,sn SEN,DF,27,27,0.0,1.0,2004-2005,c1de9074,Sochaux,"2,411",26.8,3.0,1.0,82.0,34.0,
,Francileudo Santos,tn TUN,FW,31,27,3.0,9.0,2004-2005,600e2331,Sochaux,"2,405",26.7,1.0,0.0,82.0,46.0,
,Ilan,br BRA,FW,27,22,0.0,13.0,2004-2005,f0a36f0c,Sochaux,"1,796",20.0,4.0,0.0,82.0,2.0,
,Grégory Paisley,fr FRA,DF,25,21,0.0,0.0,2004-2005,9c787be7,Sochaux,"2,003",22.3,6.0,0.0,82.0,4.0,
,Sylvain Monsoreau,fr FRA,DF,21,21,1.0,2.0,2004-2005,8aaad440,Sochaux,"1,890",21.0,0.0,0.0,82.0,4.0,
,Ibrahim Tall,sn SEN,DF,25,20,1.0,0.0,2004-2005,c6d6ec3c,Sochaux,"1,700",18.9,5.0,0.0,82.0,34.0,
,Wilson Oruma,ng NGA,MF,24,19,5.0,2.0,2004-2005,fde1cd6a,Sochaux,"1,721",19.1,2.0,1.0,82.0,52.0,
,Lionel Potillon,fr FRA,DF,19,18,0.0,1.0,2004-2005,be54ffd6,Sochaux,"1,627",18.1,2.0,0.0,82.0,4.0,
,Omar Daf,sn SEN,DF,18,18,0.0,0.0,2004-2005,15128a4f,Sochaux,"1,506",16.7,7.0,1.0,82.0,34.0,
,Jaouad Zairi,ma MAR,"FW,MF",29,15,2.0,2.0,2004-2005,f5a61b4a,Sochaux,"1,382",15.4,1.0,0.0,82.0,26.0,
,Jérémy Ménez,fr FRA,"FW,MF",22,13,0.0,4.0,2004-2005,41976af1,Sochaux,"1,145",12.7,4.0,1.0,82.0,4.0,
,Fabien Boudarène,fr FRA,MF,19,10,0.0,1.0,2004-2005,43a87c8,Sochaux,993,11.0,1.0,0.0,82.0,4.0,
,Guirane N'Daw,sn SEN,"DF,MF",16,5,0.0,0.0,2004-2005,cc61ee7a,Sochaux,681,7.6,1.0,0.0,82.0,34.0,
,Mohamed Kader,tg TOG,FW,9,5,0.0,1.0,2004-2005,c7df57ba,Sochaux,422,4.7,3.0,0.0,82.0,109.0,
,Basile de Carvalho,gw GNB,FW,6,3,0.0,0.0,2004-2005,5a6bb46,Sochaux,326,3.6,0.0,0.0,82.0,93.0,
,Maxime Josse,fr FRA,"DF,MF",3,3,0.0,0.0,2004-2005,6cf343e2,Sochaux,251,2.8,0.0,0.0,82.0,4.0,
,Sigamary Diarra,ml MLI,"FW,MF",6,2,0.0,0.0,2004-2005,9c337a2f,Sochaux,209,2.3,0.0,0.0,82.0,12.0,
,Aimé Lavie,cg CGO,DF,3,1,0.0,0.0,2004-2005,0f3e3e8,Sochaux,110,1.2,1.0,0.0,82.0,80.0,
,Gérard Gnanhouan,ci CIV,GK,1,1,0.0,0.0,2004-2005,ffa33ba,Sochaux,90,1.0,0.0,0.0,82.0,35.0,
,Marcelo Trapasso,ar ARG,MF,3,1,0.0,0.0,2004-2005,9185b3f4,Sochaux,78,0.9,0.0,0.0,82.0,5.0,
,Cédric Rey,fr FRA,DF,1,1,0.0,0.0,2004-2005,0bfba641,Sochaux,75,0.8,0.0,0.0,82.0,4.0,
,Maxence Flachez,fr FRA,DF,1,1,0.0,0.0,2004-2005,854d0707,Sochaux,74,0.8,0.0,0.0,82.0,4.0,
,Thomas Régnier,fr FRA,FW,1,0,,0.0,2004-2005,1f41253c,Sochaux,35,0.4,0.0,0.0,82.0,4.0,
,﻿Romain Pitau,fr FRA,MF,38,38,1.0,0.0,2005-2006,8a45ccf1,Sochaux,"3,302",36.7,7.0,0.0,82.0,4.0,
,Teddy Richert,fr FRA,GK,36,36,0.0,0.0,2005-2006,18b03203,Sochaux,"3,195",35.5,1.0,0.0,82.0,4.0,
,Michaël Isabey,fr FRA,MF,36,35,3.0,3.0,2005-2006,bbc95c6,Sochaux,"3,011",33.5,2.0,0.0,82.0,4.0,
,Rabiu Afolabi,ng NGA,DF,32,31,0.0,1.0,2005-2006,25c8d00d,Sochaux,"2,818",31.3,3.0,1.0,82.0,52.0,
,Guirane N'Daw,sn SEN,"DF,MF",30,30,2.0,1.0,2005-2006,cc61ee7a,Sochaux,"2,700",30.0,7.0,0.0,82.0,34.0,
,Moumouni Dagano,bf BFA,FW,32,27,1.0,7.0,2005-2006,1638b436,Sochaux,"2,491",27.7,0.0,0.0,82.0,62.0,
,Jérémy Ménez,fr FRA,"FW,MF",31,27,3.0,3.0,2005-2006,41976af1,Sochaux,"2,192",24.4,2.0,0.0,82.0,4.0,
,Ilan,br BRA,FW,27,26,2.0,10.0,2005-2006,f0a36f0c,Sochaux,"2,156",24.0,4.0,1.0,82.0,2.0,
