2002-2003,Palermo
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Stefano Morrone,it ITA,MF,35,32,4,5,"2,843",31.6,8,0,/en/players/7cbeee73/Stefano-Morrone,7cbeee73,Stefano-Morro
Vincenzo Sicignano,it ITA,GK,30,30,0,0,"2,621",29.1,0,0,/en/players/acb7cc4a/Vincenzo-Sicignano,cb7cc4a,Vincenzo-Sicignano
Daniele Di Donato,it ITA,MF,32,28,5,0,"2,593",28.8,12,0,/en/players/1a73f962/Daniele-Di-Donato,1a73f962,Daniele-Di-Donato
Alessandro Lucarelli,it ITA,DF,28,28,0,0,"2,430",27.0,7,0,/en/players/25f438ad/Alessandro-Lucarelli,25f438ad,Alessandro-Lucarelli
Pietro Accardi,it ITA,DF,28,27,0,0,"2,269",25.2,8,2,/en/players/f858882a/Pietro-Accardi,f858882a,Pietro-Accardi
Filippo Maniero,it ITA,FW,31,27,3,13,"2,250",25.0,4,0,/en/players/ad9104ba/Filippo-Maniero,d9104ba,Filippo-Maniero
Mario Santana,ar ARG,MF,33,26,1,1,"2,383",26.5,2,0,/en/players/a48abd4a/Mario-Santana,48abd4a,Mario-Sant
Massimo Mutarelli,it ITA,MF,28,26,2,0,"2,283",25.4,11,0,/en/players/4a5cc942/Massimo-Mutarelli,4a5cc942,Massimo-Mutarelli
Valentin Năstase,ro ROU,DF,22,20,2,1,"1,800",20.0,4,0,/en/players/9d7d33b4/Valentin-Nastase,9d7d33b4,Valentin-Nast
Lamberto Zauli,it ITA,MF,21,19,2,6,"1,609",17.9,0,0,/en/players/a25fdbe2/Lamberto-Zauli,25fdbe2,Lamberto-Zauli
Antonino Asta,it ITA,MF,24,19,2,3,"1,576",17.5,2,0,/en/players/eb2f3cf3/Antonino-Asta,b2f3cf3,Antonino-Ast
Matteo Pivotto,it ITA,DF,20,19,1,0,"1,512",16.8,3,0,/en/players/d51cc6c4/Matteo-Pivotto,d51cc6c4,Matteo-Pivotto
Oscar Brevi,it ITA,DF,16,16,0,0,"1,397",15.5,7,1,/en/players/6afb2b19/Oscar-Brevi,6afb2b19,Oscar-Brevi
Antonio Marasco,it ITA,MF,15,15,0,0,"1,264",14.0,3,1,/en/players/9044b8ce/Antonio-Marasco,9044b8ce,Antonio-Marasco
Arturo Di Napoli,it ITA,FW,30,13,3,8,"1,370",15.2,1,0,/en/players/77897c8d/Arturo-Di-Napoli,77897c8d,Arturo-Di-Napoli
Christian La Grotteria,ar ARG,FW,21,13,2,2,"1,172",13.0,3,0,/en/players/7ff0b859/Christian-La-Grotteria,7ff0b859,Christian-La-Grotteri
Paul Codrea,ro ROU,"DF,MF",12,12,0,2,"1,074",11.9,6,0,/en/players/771fa9b8/Paul-Codrea,771fa9b8,Paul-Cod
Kewullay Conteh,sl SLE,DF,17,10,0,1,947,10.5,5,1,/en/players/90ea5ad3/Kewullay-Conteh,90ea5ad3,Kewullay-Conteh
Giuseppe Mascara,it ITA,FW,17,9,1,3,928,10.3,0,0,/en/players/d4fb7e8e/Giuseppe-Mascara,d4fb7e8e,Giuseppe-Masc
Francesco Modesto,it ITA,"DF,MF",12,9,1,0,764,8.5,3,0,/en/players/9dd47fba/Francesco-Modesto,9dd47fba,Francesco-Modesto
Nicola Santoni,it ITA,GK,9,8,0,0,799,8.9,0,0,/en/players/fa0cf031/Nicola-Santoni,fa0cf031,Nicola-Santoni
Luca Ferri,it ITA,DF,14,6,0,0,737,8.2,4,0,/en/players/22a25e58/Luca-Ferri,22a25e58,Luca-Ferri
Fábio Bilica,br BRA,DF,12,6,1,0,642,7.1,1,0,/en/players/12bdac6a/Fabio-Bilica,12bdac6a,Fabio-Bilic
