2003-2004,Charlton-Athletic
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Matt Holland,ie IRL,MF,38,38,1,6,"3,408",37.9,0,0,/en/players/87c9a037/Matt-Holland,87c9a037,Matt-Holland
Dean Kiely,ie IRL,GK,37,37,1,0,"3,330",37.0,0,0,/en/players/0012caa1/Dean-Kiely,0012caa1,Dean-Ki
Hermann Hreiðarsson,is ISL,DF,33,33,1,3,"2,969",33.0,3,0,/en/players/18e3787e/Hermann-Hreidarsson,18e3787e,Hermann-Hreidarsso
Radostin Kishishev,bg BUL,"DF,MF",33,30,1,0,"2,585",28.7,4,0,/en/players/d06e83b4/Radostin-Kishishev,d06e83b4,Radostin-Kishishev
Claus Jensen,dk DEN,MF,31,27,5,4,"2,512",27.9,1,0,/en/players/b8f8fb0d/Claus-Jensen,b8f8fb0d,Claus-J
Chris Perry,eng ENG,DF,29,25,0,1,"2,312",25.7,5,0,/en/players/2f43aa1c/Chris-Perry,2f43aa1c,Chris-P
Paul Konchesky,eng ENG,"DF,FW",31,25,3,0,"2,295",25.5,7,0,/en/players/941bcf75/Paul-Konchesky,941bcf75,Paul-Konchesk
Jason Euell,jm JAM,"FW,MF",31,24,2,10,"2,218",24.6,5,1,/en/players/d97fe8bd/Jason-Euell,d97fe8bd,Jason-Eu
Graham Stuart,eng ENG,"FW,MF",28,23,1,3,"2,024",22.5,0,0,/en/players/159c714f/Graham-Stuart,159c714f,Graham-Stuart
Paolo Di Canio,it ITA,FW,31,23,12,4,"2,017",22.4,1,0,/en/players/9bbe0ecf/Paolo-Di-Canio,9bbe0ecf,Paolo-Di-Canio
Mark Fish,za RSA,"DF,FW",23,23,0,0,"1,861",20.7,1,1,/en/players/71e120b7/Mark-Fish,71e120b7,Mark-Fish
Jonathan Fortune,eng ENG,DF,28,21,0,2,"2,022",22.5,2,0,/en/players/dfa0cd77/Jonathan-Fortune,dfa0cd77,Jonathan-Fortu
Luke Young,eng ENG,DF,24,21,0,0,"1,912",21.2,5,0,/en/players/409a29d7/Luke-Young,409a29d7,Luke-Young
Scott Parker,eng ENG,MF,20,20,,2,"1,763",19.6,6,1,/en/players/65faf2a1/Scott-Parker,65faf2a1,Scott-Park
Jonatan Johansson,fi FIN,FW,26,16,1,4,"1,421",15.8,0,0,/en/players/bc8c9864/Jonatan-Johansson,bc8c9864,Jonatan-Johansso
Shaun Bartlett,za RSA,FW,19,13,1,5,"1,089",12.1,1,0,/en/players/0bbb893d/Shaun-Bartlett,0bbb893d,Shaun-Bartlett
Chris Powell,eng ENG,DF,16,11,1,0,962,10.7,1,0,/en/players/721060d9/Chris-Powell,721060d9,Chris-Pow
Carlton Cole,eng ENG,FW,21,8,0,4,971,10.8,0,0,/en/players/51b2effb/Carlton-Cole,51b2effb,Carlton-Co
Kevin Lisbie,jm JAM,FW,9,5,0,4,452,5.0,0,0,/en/players/e509ea01/Kevin-Lisbie,509ea01,Kevin-Lisbi
Mathias Svensson,se SWE,FW,3,1,0,0,134,1.5,0,0,/en/players/d735eec3/Mathias-Svensson,d735eec3,Mathias-Svensso
Gary Rowett,eng ENG,DF,1,1,0,0,90,1.0,0,0,/en/players/92c33b52/Gary-Rowett,92c33b52,Gary-Rowett
Simon Royce,eng ENG,GK,1,1,0,0,90,1.0,0,0,/en/players/0d7bbc61/Simon-Royce,0d7bbc61,Simon-Royc
Jerome Thomas,eng ENG,"FW,MF",1,0,0,0,45,0.5,0,0,/en/players/94cf0dab/Jerome-Thomas,94cf0dab,Jerome-Thom
Jamal Campbell-Ryce,jm JAM,"FW,MF",2,0,0,0,33,0.4,0,0,/en/players/d02c06d8/Jamal-Campbell-Ryce,d02c06d8,Jamal-Campbell-Ryc
