2009-2010,Angers
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Anthony Modeste,fr FRA,FW,37,37,0,20,"3,162",35.1,6,0,/en/players/34e4343c/Anthony-Modeste,34e4343c,Anthony-Modest
Karim Djellabi,dz ALG,DF,32,31,2,0,"2,745",30.5,3,0,/en/players/49f0557b/Karim-Djellabi,49f0557b,Karim-Djellabi
Matar Fall,sn SEN,"DF,MF",30,30,1,1,"2,560",28.4,9,0,/en/players/45d16647/Matar-Fall,45d16647,Matar-F
Thomas Mienniel,fr FRA,DF,32,28,1,1,"2,531",28.1,4,0,/en/players/0d50a4cf/Thomas-Mienniel,0d50a4cf,Thomas-Mienni
Bruno Ecuele Manga,ga GAB,DF,28,28,0,3,"2,520",28.0,4,0,/en/players/72a0fb65/Bruno-Ecuele-Manga,72a0fb65,Bruno-Ecuele-Mang
Prince Oniangué,cg CGO,"DF,MF",30,28,1,1,"2,428",27.0,2,1,/en/players/9e27e5de/Prince-Oniangue,9e27e5de,Prince-Oniangu
Malik Couturier,fr FRA,DF,29,26,0,1,"2,419",26.9,7,0,/en/players/e1479e91/Malik-Couturier,1479e91,Malik-Couturi
Mickaël Stéphan,fr FRA,MF,31,26,2,1,"2,339",26.0,6,0,/en/players/45da9c1b/Mickael-Stephan,45da9c1b,Mickael-Steph
Olivier Auriac,fr FRA,MF,27,26,1,1,"2,333",25.9,4,0,/en/players/86c8c22e/Olivier-Auriac,86c8c22e,Olivier-Auriac
Philippe Brunel,fr FRA,MF,32,26,2,3,"2,197",24.4,1,0,/en/players/364d8e06/Philippe-Brunel,364d8e06,Philippe-Bru
Charles Diers,fr FRA,MF,32,24,1,3,"2,142",23.8,1,0,/en/players/b6f4300e/Charles-Diers,b6f4300e,Charles-Di
Kévin Olimpa,fr FRA,GK,20,20,0,0,"1,800",20.0,2,0,/en/players/4928a632/Kevin-Olimpa,4928a632,Kevin-Olim
Jean-Daniel Padovani,fr FRA,GK,18,18,0,0,"1,620",18.0,3,0,/en/players/0b92fa60/Jean-Daniel-Padovani,0b92fa60,Jean-Daniel-Padovani
Gaëtan Charbonnier,fr FRA,"FW,MF",26,14,3,3,"1,242",13.8,2,1,/en/players/18ebca4b/Gaetan-Charbonnier,18ebca4b,Gaetan-Charbonni
Claudiu Keșerü,ro ROU,FW,14,14,3,4,"1,182",13.1,2,0,/en/players/4383b0da/Claudiu-Keseru,4383b0da,Claudiu-Keseru
Sébastien Renouard,fr FRA,MF,16,8,1,1,736,8.2,2,1,/en/players/66ae6e46/Sebastien-Renouard,66ae6e46,Sebastien-Renouard
Emmanuel Bourgaud,fr FRA,MF,23,7,0,0,674,7.5,3,0,/en/players/7cf9f0ed/Emmanuel-Bourgaud,7cf9f0ed,Emmanuel-Bourgaud
Youssef Adnane,fr FRA,FW,12,7,1,1,630,7.0,0,0,/en/players/0cb152eb/Youssef-Adnane,0cb152eb,Youssef-Ad
David Leray,fr FRA,DF,9,6,0,0,482,5.4,1,0,/en/players/16183263/David-Leray,16183263,David-L
Serges Déblé,ci CIV,MF,20,4,2,0,542,6.0,0,0,/en/players/1b691d4e/Serges-Deble,1b691d4e,Serges-Deb
Vincent Manceau,fr FRA,"DF,MF",8,3,0,0,361,4.0,0,0,/en/players/c26a3918/Vincent-Manceau,c26a3918,Vincent-Manceau
Anthony Ouasfane,dz ALG,DF,6,3,1,0,336,3.7,1,1,/en/players/5f20cd90/Anthony-Ouasfane,5f20cd90,Anthony-Ouasf
Norio Suzuki,jp JPN,"DF,MF",8,3,0,0,274,3.0,0,0,/en/players/cf91e72e/Norio-Suzuki,cf91e72e,Norio-Suzuki
Stevie Riga,fr FRA,DF,4,1,0,0,161,1.8,0,0,/en/players/df20d397/Stevie-Riga,df20d397,Stevie-Rig
Férébory Doré,cg CGO,FW,6,0,0,1,112,1.2,0,0,/en/players/cf91c5d6/Ferebory-Dore,cf91c5d6,Ferebory-Do
