2009-2010,Angers
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
Jérémy Blayac,fr FRA,FW,30,12,1,6,"1,180",13.1,3,0,/en/players/d9afac11/Jeremy-Blayac,d9afac11,Jeremy-Blayac
Olivier Auriac,fr FRA,MF,14,12,1,0,"1,000",11.1,3,0,/en/players/86c8c22e/Olivier-Auriac,86c8c22e,Olivier-Auriac
Yohann Eudeline,fr FRA,"FW,MF",12,10,2,1,855,9.5,3,1,/en/players/5d218b18/Yohann-Eudeline,5d218b18,Yohann-Eudeli
Fabien Boyer,mg MAD,DF,10,9,0,0,837,9.3,2,0,/en/players/d5b4ac43/Fabien-Boyer,d5b4ac43,Fabien-Bo
Diego Gómez,ar ARG,"FW,MF",9,7,1,0,609,6.8,1,0,/en/players/f346b8b8/Diego-Gomez,f346b8b8,Diego-Gomez
Alexandre Letellier,fr FRA,GK,6,6,0,0,540,6.0,0,0,/en/players/96fcd380/Alexandre-Letellier,96fcd380,Alexandre-Letelli
Pessalli,br BRA,MF,12,5,3,1,440,4.9,1,0,/en/players/837ab166/Pessalli,837ab166,Pessalli
Alharbi El Jadeyaoui,ma MAR,MF,7,3,0,0,391,4.3,1,0,/en/players/5133287a/Alharbi-El-Jadeyaoui,5133287a,Alharbi-El-Jadeyaoui
Mohamed Ben Othman,tn TUN,MF,3,2,0,1,219,2.4,0,0,/en/players/611cfe78/Mohamed-Ben-Othman,611cfe78,Mohamed-Ben-Othm
Pape Macou Sarr,sn SEN,MF,1,0,0,0,30,0.3,0,0,/en/players/cb54941d/Pape-Macou-Sarr,cb54941d,Pape-Macou-S
Bilel El Hamzaoui,ma MAR,MF,2,0,0,0,28,0.3,1,0,/en/players/f592014c/Bilel-El-Hamzaoui,f592014c,Bilel-El-Hamzaoui
﻿2014-2015,Angers
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Romain Thomas,fr FRA,DF,35,35,0,3,"3,126",34.7,7,0,/en/players/275e2c51/Romain-Thomas,275e2c51,Romain-Thom
Ludovic Butelle,fr FRA,GK,34,34,0,0,"3,060",34.0,2,0,/en/players/26975a92/Ludovic-Butelle,26975a92,Ludovic-But
Vincent Manceau,fr FRA,"DF,MF",33,32,1,1,"2,782",30.9,5,0,/en/players/c26a3918/Vincent-Manceau,c26a3918,Vincent-Manceau
Gaël Angoula,fr FRA,"DF,MF",33,31,4,0,"2,800",31.1,7,0,/en/players/504d4bb0/Gael-Angoula,504d4bb0,Gael-Angou
Arnold Bouka Moutou,cg CGO,DF,30,30,0,0,"2,700",30.0,2,0,/en/players/f3085377/Arnold-Bouka-Moutou,f3085377,Arnold-Bouka-Moutou
Jonathan Kodjia,ci CIV,FW,28,27,1,15,"2,309",25.7,4,2,/en/players/ecf44e09/Jonathan-Kodjia,cf44e09,Jonathan-Kodji
Abdoul Camara,gn GUI,"FW,MF",27,27,0,6,"2,182",24.2,3,1,/en/players/07296190/Abdoul-Camara,07296190,Abdoul-Cam
Olivier Auriac,fr FRA,MF,25,23,0,0,"1,960",21.8,4,0,/en/players/86c8c22e/Olivier-Auriac,86c8c22e,Olivier-Auriac
Charles Diers,fr FRA,MF,37,18,3,4,"1,765",19.6,2,0,/en/players/b6f4300e/Charles-Diers,b6f4300e,Charles-Di
Axel Ngando,fr FRA,MF,19,17,2,1,"1,370",15.2,2,0,/en/players/954b2503/Axel-Ngando,954b2503,Axel-Ngando
Sacha Clémence,fr FRA,FW,28,16,2,5,"1,544",17.2,1,0,/en/players/a46bf465/Sacha-Clemence,46bf465,Sacha-Clemenc
Jean-Jacques Pierre,ht HAI,DF,15,15,0,0,"1,350",15.0,0,0,/en/players/e67665bb/Jean-Jacques-Pierre,67665bb,Jean-Jacques-Pi
Rayan Frikeche,ma MAR,"DF,MF",19,14,1,0,"1,302",14.5,0,0,/en/players/a658f4e5/Rayan-Frikeche,658f4e5,Rayan-Frikech
Loïc Guillon,fr FRA,DF,15,14,0,0,"1,284",14.3,1,0,/en/players/39c12059/Loic-Guillon,39c12059,Loic-Guillo
Thomas Mangani,fr FRA,MF,15,14,2,2,"1,225",13.6,4,0,/en/players/c801616a/Thomas-Mangani,c801616a,Thomas-Mangani
Sofiane Boufal,ma MAR,"FW,MF",16,13,3,4,"1,160",12.9,2,0,/en/players/b0c71810/Sofiane-Boufal,b0c71810,Sofiane-Bouf
Kalifa Traoré,ml MLI,DF,10,10,0,0,900,10.0,6,0,/en/players/ab506bfa/Kalifa-Traore,b506bfa,Kalifa-Trao
Ismaël Keïta,ml MLI,MF,16,9,0,0,790,8.8,3,0,/en/players/71bd6af4/Ismael-Keita,71bd6af4,Ismael-Keit
Guy Ngosso,cm CMR,MF,11,9,0,1,766,8.5,3,0,/en/players/34cfec6b/Guy-Ngosso,34cfec6b,Guy-Ngosso
Yohann Eudeline,fr FRA,"FW,MF",16,7,0,0,706,7.8,2,0,/en/players/5d218b18/Yohann-Eudeline,5d218b18,Yohann-Eudeli
Mohamed Ben Othman,tn TUN,MF,12,7,0,0,671,7.5,1,0,/en/players/611cfe78/Mohamed-Ben-Othman,611cfe78,Mohamed-Ben-Othm
Pessalli,br BRA,MF,16,6,0,2,508,5.6,3,0,/en/players/837ab166/Pessalli,837ab166,Pessalli
Jérémy Blayac,fr FRA,FW,12,4,0,0,397,4.4,0,0,/en/players/d9afac11/Jeremy-Blayac,d9afac11,Jeremy-Blayac
Alexandre Letellier,fr FRA,GK,4,4,0,0,360,4.0,0,0,/en/players/96fcd380/Alexandre-Letellier,96fcd380,Alexandre-Letelli
Khaled Ayari,tn TUN,"FW,MF",10,1,1,1,249,2.8,0,0,/en/players/7c3e37bc/Khaled-Ayari,7c3e37bc,Khaled-Ayari
Nicolas Pépé,ci CIV,"FW,MF",7,1,0,0,184,2.0,0,0,/en/players/57e3f0c7/Nicolas-Pepe,57e3f0c7,Nicolas-P
Diego Gómez,ar ARG,"FW,MF",6,0,0,0,84,0.9,0,0,/en/players/f346b8b8/Diego-Gomez,f346b8b8,Diego-Gomez
Quentin Duveau,fr FRA,GK,0,0,,,,,,,/en/players/00015535/Quentin-Duveau,00015535,Quentin-Duveau
Alexandre Marfaing,fr FRA,GK,0,0,,,,,,,/en/players/9ca7ea2a/Alexandre-Marfaing,9ca7ea2a,Alexandre-Marfaing
Gabriel Mutombo,fr FRA,DF,0,0,,,,,,,/en/players/ae69ed95/Gabriel-Mutombo,69ed95,Gabriel-Mutombo
﻿2015-2016,Angers
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Romain Thomas,fr FRA,DF,36,36,0,2,"3,219",35.8,8,0,/en/players/275e2c51/Romain-Thomas,275e2c51,Romain-Thom
Romain Saïss,ma MAR,"MF,DF",35,35,1,2,"3,102",34.5,12,0,/en/players/9fbbcf39/Romain-Saiss,9fbbcf39,Romain-Sai
Ismaël Traoré,ci CIV,DF,34,34,0,1,"2,959",32.9,2,1,/en/players/b666421b/Ismael-Traore,b666421b,Ismael-Trao
Cheikh N'Doye,sn SEN,MF,32,32,0,9,"2,775",30.8,5,2,/en/players/f1b2365a/Cheikh-NDoye,f1b2365a,Cheikh-NDo
