2004-2005,Saint-Etienne
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Jérémie Janot,fr FRA,GK,38,38,0,0,"3,420",38.0,4,0,/en/players/20881853/Jeremie-Janot,20881853,Jeremie-Janot
Julien Sablé,fr FRA,MF,37,37,2,5,"3,326",37.0,4,1,/en/players/3eec50d0/Julien-Sable,3eec50d0,Julien-Sab
Hérita Ilunga,cd COD,DF,37,37,2,1,"3,289",36.5,9,0,/en/players/1550f0e0/Herita-Ilunga,1550f0e0,Herita-Ilung
Frédéric Piquionne,fr FRA,FW,38,37,7,11,"3,220",35.8,10,0,/en/players/62f579c5/Frederic-Piquionne,62f579c5,Frederic-Piquio
David Hellebuyck,fr FRA,MF,37,37,4,4,"3,204",35.6,3,0,/en/players/370ae664/David-Hellebuyck,370ae664,David-Hellebuyck
Zoumana Camara,fr FRA,DF,36,36,0,0,"3,121",34.7,4,1,/en/players/dd8ab3d6/Zoumana-Camara,dd8ab3d6,Zoumana-Cam
Didier Zokora,ci CIV,MF,35,35,1,0,"3,135",34.8,8,1,/en/players/23921ca7/Didier-Zokora,23921ca7,Didier-Zoko
Pascal Feindouno,gn GUI,"FW,MF",36,34,2,13,"3,006",33.4,7,0,/en/players/d32d9947/Pascal-Feindouno,d32d9947,Pascal-Feindouno
Vincent Hognon,fr FRA,DF,34,34,1,2,"2,955",32.8,3,0,/en/players/7ea95f86/Vincent-Hognon,7ea95f86,Vincent-Hogno
Fousseni Diawara,ml MLI,DF,24,23,0,0,"2,021",22.5,5,0,/en/players/e6d582ed/Fousseni-Diawara,6d582ed,Fousseni-Diaw
Frédéric Mendy,sn SEN,"FW,MF",24,22,5,2,"1,664",18.5,0,0,/en/players/68d68731/Frederic-Mendy,68d68731,Frederic-Mend
Nicolas Marin,fr FRA,"FW,MF",25,12,0,3,"1,043",11.6,2,0,/en/players/2883825b/Nicolas-Marin,2883825b,Nicolas-Mari
Garrido,es ESP,DF,10,9,1,0,854,9.5,2,0,/en/players/32852179/Garrido,32852179,Garrido
Stéphane Hernandez,fr FRA,DF,16,6,1,0,779,8.7,2,0,/en/players/deba6655/Stephane-Hernandez,deba6655,Stephane-Hernandez
Lamine Sakho,sn SEN,"FW,MF",9,4,0,1,388,4.3,2,0,/en/players/5d65dcf4/Lamine-Sakho,5d65dcf4,Lamine-Sakho
Alaeddine Yahia,tn TUN,DF,6,3,0,0,361,4.0,1,0,/en/players/7e84cc61/Alaeddine-Yahia,7e84cc61,Alaeddine-Yahi
Loïc Perrin,fr FRA,"DF,MF",13,3,0,0,347,3.9,1,0,/en/players/6b200d45/Loic-Perrin,6b200d45,Loic-Perri
Anthony Le Tallec,fr FRA,"FW,MF",6,3,1,1,285,3.2,0,0,/en/players/5d81fb2c/Anthony-Le-Tallec,5d81fb2c,Anthony-Le-Tallec
Patrice Carteron,fr FRA,DF,6,3,0,0,255,2.8,1,0,/en/players/84609abe/Patrice-Carteron,84609abe,Patrice-Cartero
Lilian Compan,fr FRA,FW,21,2,0,4,516,5.7,3,0,/en/players/f656bf65/Lilian-Compan,f656bf65,Lilian-Com
Michaël Citony,,MF,3,2,0,0,184,2.0,0,0,/en/players/c15c48bf/Michael-Citony,c15c48bf,Michael-Cito
Bafétimbi Gomis,fr FRA,FW,6,0,0,0,89,1.0,0,0,/en/players/3d6686f9/Bafetimbi-Gomis,3d6686f9,Bafetimbi-Gomi
Mouhamadou Dabo,fr FRA,DF,3,0,0,0,48,0.5,0,0,/en/players/78853b7b/Mouhamadou-Dabo,78853b7b,Mouhamadou-Dabo
