Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB
,﻿Markus Karl,de GER,"DF,MF",33,33,2.0,3.0,2008-2009,41f9024a,Ingolstadt-04,"2,934",32.6,8.0,0.0,33.0,13.0,
,Michael Lutz,de GER,GK,32,32,0.0,0.0,2008-2009,40e336d1,Ingolstadt-04,"2,880",32.0,2.0,0.0,33.0,13.0,
,Valdet Rama,al ALB,"FW,MF",32,29,2.0,2.0,2008-2009,00b159ff,Ingolstadt-04,"2,287",25.4,7.0,0.0,33.0,78.0,
,Mario Neunaber,de GER,DF,29,27,0.0,1.0,2008-2009,8df1c44,Ingolstadt-04,"2,557",28.4,3.0,0.0,33.0,13.0,
,Stefan Leitl,de GER,MF,27,24,1.0,1.0,2008-2009,986d0fb2,Ingolstadt-04,"2,063",22.9,4.0,1.0,33.0,13.0,
,Matthias Schwarz,de GER,MF,26,22,3.0,0.0,2008-2009,ce2892a1,Ingolstadt-04,"1,959",21.8,4.0,0.0,33.0,13.0,
,Vratislav Lokvenc,cz CZE,FW,23,21,4.0,6.0,2008-2009,d26feb50,Ingolstadt-04,"1,745",19.4,5.0,0.0,33.0,84.0,
,Michael Wenczel,de GER,DF,22,20,0.0,3.0,2008-2009,bdba1f5a,Ingolstadt-04,"1,736",19.3,6.0,0.0,33.0,13.0,
,Heiko Gerber,de GER,"DF,MF",20,19,1.0,0.0,2008-2009,d45b99a,Ingolstadt-04,"1,675",18.6,4.0,1.0,33.0,13.0,
,Daniel Jungwirth,de GER,MF,27,19,2.0,2.0,2008-2009,5906873d,Ingolstadt-04,"1,661",18.5,5.0,0.0,33.0,13.0,
,Ralf Keidel,de GER,MF,19,18,0.0,0.0,2008-2009,3f39a234,Ingolstadt-04,"1,551",17.2,9.0,0.0,33.0,13.0,
,Steffen Wohlfarth,de GER,FW,28,17,3.0,4.0,2008-2009,57f04eeb,Ingolstadt-04,"1,825",20.3,7.0,0.0,33.0,13.0,
,Ersin Demir,de GER,FW,27,17,0.0,9.0,2008-2009,4df8fa7e,Ingolstadt-04,"1,582",17.6,1.0,0.0,33.0,13.0,
,Christopher Reinhard,de GER,"DF,FW",13,12,1.0,0.0,2008-2009,caee3cc3,Ingolstadt-04,"1,103",12.3,2.0,0.0,33.0,13.0,
,Necat Aygün,de GER,DF,11,11,0.0,0.0,2008-2009,608d59f4,Ingolstadt-04,908,10.1,4.0,0.0,33.0,13.0,
,Sören Dreßler,de GER,DF,10,9,1.0,0.0,2008-2009,7896bc52,Ingolstadt-04,825,9.2,0.0,0.0,33.0,13.0,
,Andreas Neuendorf,de GER,MF,15,9,1.0,3.0,2008-2009,bd84ecfc,Ingolstadt-04,737,8.2,2.0,0.0,33.0,13.0,
,Jaime Bragança,pt POR,MF,15,8,0.0,0.0,2008-2009,4ec49884,Ingolstadt-04,663,7.4,5.0,0.0,33.0,3.0,
,Andreas Buchner,de GER,MF,14,6,0.0,2.0,2008-2009,58e227f7,Ingolstadt-04,681,7.6,1.0,0.0,33.0,13.0,
,Malte Metzelder,de GER,DF,14,6,0.0,0.0,2008-2009,93d0691,Ingolstadt-04,623,6.9,0.0,1.0,33.0,13.0,
,Tobias Fink,de GER,DF,10,6,0.0,0.0,2008-2009,1cf52cbb,Ingolstadt-04,618,6.9,3.0,0.0,33.0,13.0,
,Daniel Lemos,br BRA,"FW,MF",7,2,0.0,0.0,2008-2009,bd4b71db,Ingolstadt-04,254,2.8,1.0,0.0,33.0,2.0,
,Marcel Hagmann,de GER,"DF,MF",3,2,1.0,0.0,2008-2009,604896fb,Ingolstadt-04,194,2.2,0.0,0.0,33.0,13.0,
,Marco Sejna,de GER,GK,2,2,0.0,0.0,2008-2009,7fbbb2e7,Ingolstadt-04,180,2.0,0.0,0.0,33.0,13.0,
,Alexander Buch,de GER,MF,4,2,0.0,0.0,2008-2009,2c41c777,Ingolstadt-04,164,1.8,0.0,0.0,33.0,13.0,
,Ivan Santini,hr CRO,FW,6,1,0.0,0.0,2008-2009,086d7db3,Ingolstadt-04,168,1.9,0.0,0.0,33.0,16.0,
,Steffen Schneider,de GER,FW,3,0,0.0,0.0,2008-2009,0647e96d,Ingolstadt-04,62,0.7,0.0,0.0,33.0,13.0,
,Jakob Dallevedove,de GER,MF,1,0,0.0,0.0,2008-2009,9cb57ae0,Ingolstadt-04,12,0.1,0.0,0.0,33.0,13.0,
,Stefan Müller,de GER,FW,1,0,0.0,0.0,2008-2009,2ba1ed53,Ingolstadt-04,10,0.1,0.0,0.0,33.0,13.0,
,﻿Stefan Leitl,de GER,MF,36,36,11.0,12.0,2009-2010,986d0fb2,Ingolstadt-04,"3,131",34.8,12.0,0.0,33.0,13.0,
,Moritz Hartmann,de GER,FW,36,36,4.0,21.0,2009-2010,16ee355d,Ingolstadt-04,"2,974",33.0,4.0,0.0,33.0,13.0,
,David Pisot,de GER,DF,35,35,0.0,2.0,2009-2010,81a9d0bc,Ingolstadt-04,"3,080",34.2,5.0,1.0,33.0,13.0,
,Andreas Buchner,de GER,MF,31,29,4.0,4.0,2009-2010,58e227f7,Ingolstadt-04,"2,428",27.0,3.0,0.0,33.0,13.0,
,Moïse Bambara,bf BFA,"DF,MF",33,28,0.0,2.0,2009-2010,dcaa598b,Ingolstadt-04,"2,488",27.6,7.0,0.0,33.0,62.0,
,Ralf Keidel,de GER,MF,27,24,1.0,2.0,2009-2010,3f39a234,Ingolstadt-04,"2,212",24.6,16.0,1.0,33.0,13.0,
,Malte Metzelder,de GER,DF,28,24,0.0,3.0,2009-2010,93d0691,Ingolstadt-04,"2,197",24.4,10.0,0.0,33.0,13.0,
,Michael Lutz,de GER,GK,24,24,0.0,0.0,2009-2010,40e336d1,Ingolstadt-04,"2,160",24.0,1.0,0.0,33.0,13.0,
,Andreas Neuendorf,de GER,MF,35,24,6.0,3.0,2009-2010,bd84ecfc,Ingolstadt-04,"2,154",23.9,8.0,0.0,33.0,13.0,
,Markus Karl,de GER,"DF,MF",27,23,1.0,3.0,2009-2010,41f9024a,Ingolstadt-04,"2,056",22.8,6.0,0.0,33.0,13.0,
,Tobias Fink,de GER,DF,23,22,2.0,1.0,2009-2010,1cf52cbb,Ingolstadt-04,"1,997",22.2,4.0,0.0,33.0,13.0,
,Steven Ruprecht,de GER,DF,20,18,0.0,3.0,2009-2010,13c97140,Ingolstadt-04,"1,627",18.1,1.0,0.0,33.0,13.0,
,Robert Fleßers,de GER,"DF,MF",20,17,1.0,0.0,2009-2010,4bde62b4,Ingolstadt-04,"1,477",16.4,3.0,0.0,33.0,13.0,
,Steffen Wohlfarth,de GER,FW,29,14,3.0,5.0,2009-2010,57f04eeb,Ingolstadt-04,"1,389",15.4,4.0,0.0,33.0,13.0,
,Marco Sejna,de GER,GK,14,14,0.0,0.0,2009-2010,7fbbb2e7,Ingolstadt-04,"1,260",14.0,0.0,0.0,33.0,13.0,
,Michael Wenczel,de GER,DF,13,13,0.0,1.0,2009-2010,bdba1f5a,Ingolstadt-04,"1,112",12.4,1.0,0.0,33.0,13.0,
,Patrick Mölzl,de GER,MF,12,11,0.0,0.0,2009-2010,536bb4f8,Ingolstadt-04,882,9.8,4.0,0.0,33.0,13.0,
,Fabian Gerber,ch SUI,MF,21,8,0.0,6.0,2009-2010,29c0da5a,Ingolstadt-04,865,9.6,1.0,0.0,33.0,39.0,
,Mathias Wittek,de GER,"DF,MF",7,7,0.0,0.0,2009-2010,469725d4,Ingolstadt-04,630,7.0,1.0,0.0,33.0,13.0,
,Robert Braber,nl NED,"FW,MF",21,5,0.0,1.0,2009-2010,35704f32,Ingolstadt-04,673,7.5,1.0,0.0,33.0,11.0,
,Ersin Demir,de GER,FW,15,3,0.0,1.0,2009-2010,4df8fa7e,Ingolstadt-04,342,3.8,3.0,0.0,33.0,13.0,
,Ian Joy,us USA,DF,3,3,0.0,0.0,2009-2010,886f63ba,Ingolstadt-04,236,2.6,2.0,0.0,33.0,75.0,
,Alexander Buch,de GER,MF,6,0,0.0,0.0,2009-2010,2c41c777,Ingolstadt-04,89,1.0,2.0,0.0,33.0,13.0,
,Emin Ismajli,al ALB,MF,4,0,0.0,0.0,2009-2010,13f80af3,Ingolstadt-04,78,0.9,0.0,0.0,33.0,78.0,
,Stefan Müller,de GER,FW,2,0,0.0,0.0,2009-2010,2ba1ed53,Ingolstadt-04,21,0.2,0.0,0.0,33.0,13.0,
,﻿Sascha Kirschstein,de GER,GK,34,34,0.0,0.0,2010-2011,917f0979,Ingolstadt-04,"3,060",34.0,0.0,0.0,33.0,13.0,
,Tobias Fink,de GER,DF,34,34,0.0,0.0,2010-2011,1cf52cbb,Ingolstadt-04,"3,056",34.0,3.0,0.0,33.0,13.0,
,Marvin Matip,cm CMR,"DF,MF",30,30,0.0,2.0,2010-2011,97decaae,Ingolstadt-04,"2,700",30.0,0.0,0.0,33.0,36.0,
,Malte Metzelder,de GER,DF,28,28,1.0,2.0,2010-2011,93d0691,Ingolstadt-04,"2,444",27.2,7.0,0.0,33.0,13.0,
,Stefan Leitl,de GER,MF,27,25,8.0,13.0,2010-2011,986d0fb2,Ingolstadt-04,"2,222",24.7,4.0,0.0,33.0,13.0,
,Andreas Görlitz,de GER,"DF,MF",27,24,1.0,0.0,2010-2011,75338390,Ingolstadt-04,"2,133",23.7,7.0,0.0,33.0,13.0,
,Moritz Hartmann,de GER,FW,33,24,2.0,3.0,2010-2011,16ee355d,Ingolstadt-04,"2,079",23.1,3.0,0.0,33.0,13.0,
,David Pisot,de GER,DF,22,21,0.0,0.0,2010-2011,81a9d0bc,Ingolstadt-04,"1,891",21.0,3.0,0.0,33.0,13.0,
,Moïse Bambara,bf BFA,"DF,MF",25,21,2.0,0.0,2010-2011,dcaa598b,Ingolstadt-04,"1,823",20.3,4.0,0.0,33.0,62.0,
,Markus Karl,de GER,"DF,MF",21,21,1.0,1.0,2010-2011,41f9024a,Ingolstadt-04,"1,795",19.9,6.0,0.0,33.0,13.0,
,Andreas Buchner,de GER,MF,18,17,2.0,3.0,2010-2011,58e227f7,Ingolstadt-04,"1,421",15.8,2.0,0.0,33.0,13.0,
,Marino Biliškov,hr CRO,DF,15,15,0.0,0.0,2010-2011,9ff7f35a,Ingolstadt-04,"1,350",15.0,4.0,0.0,33.0,16.0,
,Caiuby,br BRA,"FW,MF",15,14,3.0,5.0,2010-2011,c6637acf,Ingolstadt-04,"1,208",13.4,4.0,0.0,33.0,2.0,
,Fabian Gerber,ch SUI,MF,25,13,3.0,3.0,2010-2011,29c0da5a,Ingolstadt-04,"1,349",15.0,2.0,0.0,33.0,39.0,
,Márkó Futács,hu HUN,FW,23,10,0.0,2.0,2010-2011,1e74eab0,Ingolstadt-04,"1,062",11.8,5.0,0.0,33.0,87.0,
,Sebastian Hofmann,de GER,FW,14,8,0.0,3.0,2010-2011,3b0e3d51,Ingolstadt-04,631,7.0,1.0,0.0,33.0,13.0,
,Edson Buddle,us USA,FW,14,7,1.0,3.0,2010-2011,65778f14,Ingolstadt-04,685,7.6,1.0,0.0,33.0,75.0,
,Romain Dedola,fr FRA,MF,14,6,0.0,0.0,2010-2011,677e68ff,Ingolstadt-04,610,6.8,2.0,0.0,33.0,4.0,
,Manuel Hartmann,de GER,MF,10,5,1.0,0.0,2010-2011,69b84515,Ingolstadt-04,456,5.1,0.0,0.0,33.0,13.0,
,Sebastian Zielinsky,de GER,"FW,MF",11,5,0.0,0.0,2010-2011,5cc65423,Ingolstadt-04,437,4.9,0.0,0.0,33.0,13.0,
,Mathias Wittek,de GER,"DF,MF",9,4,0.0,0.0,2010-2011,469725d4,Ingolstadt-04,424,4.7,3.0,0.0,33.0,13.0,
,Steven Ruprecht,de GER,DF,3,3,0.0,0.0,2010-2011,13c97140,Ingolstadt-04,225,2.5,1.0,0.0,33.0,13.0,
,Steffen Wohlfarth,de GER,FW,10,2,0.0,0.0,2010-2011,57f04eeb,Ingolstadt-04,304,3.4,0.0,0.0,33.0,13.0,
,Patrick Mölzl,de GER,MF,2,2,0.0,0.0,2010-2011,536bb4f8,Ingolstadt-04,160,1.8,0.0,0.0,33.0,13.0,
,Ralf Keidel,de GER,MF,5,1,0.0,0.0,2010-2011,3f39a234,Ingolstadt-04,127,1.4,1.0,0.0,33.0,13.0,
,Benjamin Kauffmann,de GER,MF,1,0,0.0,0.0,2010-2011,9c888f,Ingolstadt-04,8,0.1,0.0,0.0,33.0,13.0,
,﻿Marvin Matip,cm CMR,"DF,MF",32,32,2.0,0.0,2011-2012,97decaae,Ingolstadt-04,"2,789",31.0,1.0,0.0,33.0,36.0,
,Stefan Leitl,de GER,MF,32,32,9.0,6.0,2011-2012,986d0fb2,Ingolstadt-04,"2,777",30.9,9.0,0.0,33.0,13.0,
,Marino Biliškov,hr CRO,DF,28,28,0.0,1.0,2011-2012,9ff7f35a,Ingolstadt-04,"2,510",27.9,3.0,1.0,33.0,16.0,
,Andreas Görlitz,de GER,"DF,MF",28,28,2.0,1.0,2011-2012,75338390,Ingolstadt-04,"2,478",27.5,4.0,1.0,33.0,13.0,
,Andreas Schäfer,de GER,DF,25,24,0.0,0.0,2011-2012,12b58f64,Ingolstadt-04,"2,154",23.9,3.0,0.0,33.0,13.0,
,Andreas Buchner,de GER,MF,26,23,0.0,3.0,2011-2012,58e227f7,Ingolstadt-04,"1,946",21.6,2.0,0.0,33.0,13.0,
,Ramazan Özcan,at AUT,GK,22,22,0.0,0.0,2011-2012,165a577,Ingolstadt-04,"1,980",22.0,0.0,0.0,33.0,24.0,
,Caiuby,br BRA,"FW,MF",26,20,5.0,1.0,2011-2012,c6637acf,Ingolstadt-04,"1,843",20.5,8.0,0.0,33.0,2.0,
,Moïse Bambara,bf BFA,"DF,MF",26,19,1.0,0.0,2011-2012,dcaa598b,Ingolstadt-04,"1,705",18.9,6.0,0.0,33.0,62.0,
,José-Alex Ikeng,de GER,MF,22,19,1.0,3.0,2011-2012,123c5118,Ingolstadt-04,"1,552",17.2,7.0,0.0,33.0,13.0,
,Ralph Gunesch,de GER,DF,15,15,0.0,0.0,2011-2012,d990bdc8,Ingolstadt-04,"1,350",15.0,1.0,0.0,33.0,13.0,
,Sascha Kirschstein,de GER,GK,12,12,0.0,0.0,2011-2012,917f0979,Ingolstadt-04,"1,080",12.0,1.0,0.0,33.0,13.0,
,Moritz Hartmann,de GER,FW,15,12,3.0,5.0,2011-2012,16ee355d,Ingolstadt-04,"1,070",11.9,0.0,0.0,33.0,13.0,
,Adam Nemec,sk SVK,FW,15,12,0.0,2.0,2011-2012,9e6bcbad,Ingolstadt-04,"1,016",11.3,3.0,0.0,33.0,70.0,
,David Pisot,de GER,DF,13,11,0.0,1.0,2011-2012,81a9d0bc,Ingolstadt-04,933,10.4,1.0,0.0,33.0,13.0,
,Malte Metzelder,de GER,DF,12,11,1.0,1.0,2011-2012,93d0691,Ingolstadt-04,917,10.2,3.0,0.0,33.0,13.0,
,Edson Buddle,us USA,FW,17,9,1.0,6.0,2011-2012,65778f14,Ingolstadt-04,822,9.1,1.0,0.0,33.0,75.0,
,Tobias Fink,de GER,DF,8,8,0.0,0.0,2011-2012,1cf52cbb,Ingolstadt-04,720,8.0,2.0,0.0,33.0,13.0,
,Florian Heller,de GER,"FW,MF",11,8,1.0,0.0,2011-2012,79c4be2e,Ingolstadt-04,644,7.2,0.0,0.0,33.0,13.0,
,Ahmed Akaïchi,tn TUN,FW,24,7,1.0,5.0,2011-2012,b9bf7735,Ingolstadt-04,901,10.0,5.0,0.0,33.0,46.0,
,Leonhard Haas,de GER,MF,11,5,0.0,0.0,2011-2012,2138b42,Ingolstadt-04,555,6.2,2.0,0.0,33.0,13.0,
,Collin Quaner,de GER,FW,15,3,1.0,1.0,2011-2012,19b8b0b9,Ingolstadt-04,437,4.9,4.0,0.0,33.0,13.0,
,Fabian Gerber,ch SUI,MF,8,3,0.0,0.0,2011-2012,29c0da5a,Ingolstadt-04,394,4.4,0.0,0.0,33.0,39.0,
,Manuel Schäffler,de GER,FW,10,3,1.0,2.0,2011-2012,de8edb3a,Ingolstadt-04,317,3.5,0.0,0.0,33.0,13.0,
,Manuel Hartmann,de GER,MF,6,3,1.0,0.0,2011-2012,69b84515,Ingolstadt-04,308,3.4,0.0,0.0,33.0,13.0,
,Karl-Heinz Lappe,de GER,FW,4,3,0.0,0.0,2011-2012,bfa50aa7,Ingolstadt-04,186,2.1,0.0,0.0,33.0,13.0,
,Christoph Knasmüllner,at AUT,"FW,MF",5,1,0.0,2.0,2011-2012,2950e2d,Ingolstadt-04,148,1.6,0.0,0.0,33.0,24.0,
,Marc Hornschuh,de GER,"DF,MF",2,1,0.0,0.0,2011-2012,16839b27,Ingolstadt-04,91,1.0,0.0,0.0,33.0,13.0,
,Romain Dedola,fr FRA,MF,1,0,0.0,0.0,2011-2012,677e68ff,Ingolstadt-04,9,0.1,0.0,0.0,33.0,4.0,
,Kristoffer Andersen,dk DEN,"DF,MF",2,0,0.0,0.0,2011-2012,312f3ff0,Ingolstadt-04,8,0.1,0.0,0.0,33.0,7.0,
,﻿Ramazan Özcan,at AUT,GK,32,32,0.0,0.0,2012-2013,165a577,Ingolstadt-04,"2,856",31.7,0.0,0.0,33.0,24.0,
,Caiuby,br BRA,"FW,MF",32,30,3.0,10.0,2012-2013,c6637acf,Ingolstadt-04,"2,731",30.3,8.0,1.0,33.0,2.0,
,Andre Mijatović,hr CRO,DF,30,30,0.0,2.0,2012-2013,68351e1,Ingolstadt-04,"2,700",30.0,7.0,0.0,33.0,16.0,
,Marvin Matip,cm CMR,"DF,MF",34,30,2.0,0.0,2012-2013,97decaae,Ingolstadt-04,"2,680",29.8,3.0,0.0,33.0,36.0,
,Pascal Groß,de GER,"FW,MF",30,28,1.0,2.0,2012-2013,8aec0537,Ingolstadt-04,"2,289",25.4,3.0,0.0,33.0,13.0,
,Andreas Schäfer,de GER,DF,27,27,0.0,0.0,2012-2013,12b58f64,Ingolstadt-04,"2,378",26.4,4.0,0.0,33.0,13.0,
,Danny da Costa,de GER,"DF,FW",27,26,1.0,0.0,2012-2013,5ddb8f9f,Ingolstadt-04,"2,356",26.2,2.0,0.0,33.0,13.0,
,Christian Eigler,de GER,FW,27,25,4.0,6.0,2012-2013,84a56158,Ingolstadt-04,"2,216",24.6,6.0,0.0,33.0,13.0,
,Stefan Leitl,de GER,MF,29,23,4.0,5.0,2012-2013,986d0fb2,Ingolstadt-04,"2,064",22.9,7.0,1.0,33.0,13.0,
,Ümit Korkmaz,at AUT,MF,26,18,1.0,1.0,2012-2013,1ccc03b7,Ingolstadt-04,"1,425",15.8,3.0,0.0,33.0,24.0,
