Id,Player,Position,Nationality_id
1,﻿Iker Casillas,GK,1
2,Roberto Carlos,DF,2
3,Míchel Salgado,DF,1
4,Iván Helguera,"DF,MF",1
5,Luís Figo,"FW,MF",3
6,Zinédine Zidane,MF,4
7,Raúl,FW,1
8,Claude Makélélé,MF,4
9,Ronaldo,FW,2
10,Fernando Hierro,"DF,MF",1
11,Flávio Conceição,MF,2
12,Guti,"FW,MF",1
13,Esteban Cambiasso,MF,5
14,Francisco Pavón,DF,1
15,Santiago Solari,MF,5
16,Steve McManaman,MF,6
17,Óscar Miñambres,"DF,MF",1
18,Fernando Morientes,FW,1
19,Javier Portillo,FW,1
20,Raúl Bravo,DF,1
21,Rubén,DF,1
22,Tote,"FW,MF",1
23,Albert Celades,MF,1
24,David Beckham,MF,6
25,Álvaro Mejía,DF,1
26,Borja Fernández,MF,1
27,Juanfran,"DF,MF",1
28,Jordi López,MF,1
29,César Sánchez,GK,1
30,Antonio Núñez,MF,1
31,Walter Samuel,DF,5
32,Michael Owen,FW,6
33,Thomas Gravesen,MF,7
34,Álvaro Arbeloa,DF,1
35,Javi García,"DF,MF",1
36,Miguel Palencia,DF,1
37,Jotha,MF,1
38,Sergio Ramos,DF,1
39,Robinho,"FW,MF",2
40,Júlio Baptista,"FW,MF",2
41,Pablo García,"DF,MF",8
42,Cicinho,DF,2
43,Carlos Diogo,"DF,MF",8
44,Jonathan Woodgate,DF,6
45,Antonio Cassano,FW,9
46,Roberto Soldado,FW,1
47,Diego López,GK,1
48,Javier Balboa,"FW,MF",10
49,Rubén de la Red,MF,1
50,José Manuel Jurado,MF,1
51,Ruud van Nistelrooy,FW,11
52,Fabio Cannavaro,DF,9
53,Mahamadou Diarra,MF,12
54,Emerson,MF,2
55,Miguel Torres,DF,1
56,José Antonio Reyes,MF,1
57,Gonzalo Higuaín,"FW,MF",5
58,Fernando Gago,MF,5
59,Marcelo,"DF,MF",2
60,Miguel Ángel Nieto,MF,1
61,Wesley Sneijder,MF,11
62,Pepe,"DF,MF",3
63,Gabriel Heinze,DF,5
64,Arjen Robben,"FW,MF",11
65,Royston Drenthe,"DF,MF",11
66,Christoph Metzelder,DF,13
67,Javier Saviola,FW,5
68,Jordi Codina,GK,1
69,Jerzy Dudek,GK,14
70,Lassana Diarra,MF,4
71,Rafael van der Vaart,MF,11
72,Klaas-Jan Huntelaar,FW,11
73,Gary Kagelmacher,DF,8
74,Miguel Palanca,"FW,MF",1
75,Daniel Parejo,MF,1
76,Julien Faubert,"DF,FW",4
77,Marcos Tébar,"DF,MF",1
78,Alberto Bueno,"FW,MF",1
79,Xabi Alonso,MF,1
80,Raúl Albiol,DF,1
81,Cristiano Ronaldo,"FW,MF",3
82,Esteban Granero,MF,1
83,Kaká,"FW,MF",2
84,Ezequiel Garay,DF,5
85,Karim Benzema,FW,4
86,Juanfran,"DF,FW",1
87,Marcos Alonso,"DF,MF",1
88,Pedro Mosquera,MF,1
89,Ricardo Carvalho,DF,3
90,Mesut Özil,MF,13
91,Ángel Di María,"FW,MF",5
92,Sami Khedira,MF,13
93,Sergio Canales,MF,1
94,Antonio Adán,GK,1
95,Nacho,DF,1
96,Pedro León,"FW,MF",1
97,Jesús,GK,1
98,Juankar,"DF,FW",1
99,Tomás Mejías,GK,1
100,Joselu,FW,1
101,Álex Fernández,"DF,MF",1
102,Álvaro Morata,FW,1
103,Fábio Coentrão,DF,3
104,Raphaël Varane,"DF,MF",4
105,José Callejón,"FW,MF",1
106,Nuri Şahin,MF,15
107,Hamit Altıntop,"DF,MF",15
108,Jesé,"FW,MF",1
109,Luka Modrić,MF,16
110,Michael Essien,"DF,MF",17
111,Casemiro,MF,2
112,Fabinho,"DF,MF",2
113,Omar Mascarell,MF,1
114,Diego Llorente,DF,1
115,José Rodríguez,MF,1
116,Dani Carvajal,DF,1
117,Gareth Bale,"FW,MF",18
118,Isco,"FW,MF",1
119,Asier Illarramendi,MF,1
120,Willian José,FW,2
121,﻿Toni Kroos,MF,13
122,James Rodríguez,"FW,MF",19
123,Javier Hernández,FW,20
124,Lucas Silva,MF,2
125,Martin Ødegaard,"FW,MF",21
126,Álvaro Medrán,MF,1
127,Sergio Aguza,MF,1
128,Borja Mayoral,FW,1
129,Javier Muñoz,MF,1
130,Fernando Pacheco,GK,1
131,Raúl de Tomás,FW,1
132,Keylor Navas,GK,22
133,Danilo,DF,2
134,Lucas Vázquez,"FW,MF",1
135,Mateo Kovačić,MF,16
136,Kiko Casilla,GK,1
137,Denis Cheryshev,"FW,MF",23
138,Marcos Llorente,"DF,MF",1
139,José Carlos Lazo,MF,1
140,Philipp Lienhart,DF,24
141,Álvaro Tejero,DF,1
142,Rubén Yáñez,GK,1
143,Marco Asensio,"FW,MF",1
144,Mariano,FW,25
145,Achraf Hakimi,"DF,MF",26
146,Theo Hernández,DF,4
147,Jesús Vallejo,DF,1
148,Dani Ceballos,MF,1
149,Luca Zidane,GK,4
150,Franchu Feuillassier,MF,5
151,Moha,GK,1
152,Luismi Quezada,DF,25
153,Óscar Rodríguez Arnaiz,MF,1
154,Thibaut Courtois,GK,27
155,Sergio Reguilón,DF,1
156,Vinicius Júnior,"FW,MF",2
157,Federico Valverde,MF,8
158,Brahim Díaz,"FW,MF",1
159,Javi Sánchez,DF,1
160,Cristo González,FW,1
161,Jaime Seoane,MF,1
162,Ferland Mendy,DF,4
163,Eden Hazard,"FW,MF",27
164,Rodrygo,FW,2
165,Éder Militão,DF,2
166,Luka Jović,FW,28
167,Alphonse Areola,GK,4
168,Álvaro Odriozola,DF,1
169,Altube,GK,1
170,Miguel Gutiérrez,DF,1
171,Javi,DF,1
172,Luis López,GK,1
173,Blanco,MF,1
174,Marvin,"MF,DF",1
175,Víctor Chust,DF,1
176,Sergio Arribas,"MF,FW",1
177,Hugo Duro,FW,1
178,Óscar Aranda,FW,1
179,Lucas Cañizars,GK,1
180,Andriy Lunin,GK,29
181,Pablo Ramon,DF,1
182,Sergio Santos,DF,1
183,David Alaba,DF,24
184,Eduardo Camavinga,MF,4
185,Peter González,"MF,DF",25
186,Mario Gila,DF,1
187,Latasa,FW,1
188,Toni Fuidias,GK,1
189,Diego Piñeiro,GK,1
190,Rafa,DF,1
191,﻿López Rekarte,DF,1
192,Sander Westerveld,GK,11
193,Valeri Karpin,MF,23
194,Igor Jauregi,"DF,MF",1
195,Darko Kovačević,FW,28
196,Nihat Kahveci,FW,15
197,Agustín Aranzábal,DF,1
198,Mikel Aranburu,MF,1
199,Javier de Pedro,MF,1
200,Gabriel Schürrer,DF,5
201,Bjørn Tore Kvarme,DF,21
202,Boris,DF,1
203,Igor Gabilondo,MF,1
204,Tayfun Korkut,"DF,MF",15
205,Dmitri Khokhlov,MF,23
206,José Barkero,MF,1
207,Mikel Alonso,MF,1
208,Zuhaitz Gurrutxaga,DF,1
209,Alberto,GK,1
210,Óscar de Paula,FW,1
211,Joseba Llorente,FW,1
212,Bittor Alkiza,MF,1
213,Lionel Potillon,DF,4
214,Lee Chun-soo,"FW,MF",30
215,Xabi Prieto,MF,1
216,Gorka Larrea,MF,1
217,Oskitz Estefanía,FW,1
218,﻿Asier Riesgo,GK,1
219,Mikel Labaka,DF,1
220,Luiz Alberto,DF,2
221,Adriano Rossato,DF,2
222,Gari Uranga,MF,1
223,Jérémie Bréchet,"DF,MF",4
224,Iban Zubiaurre,DF,1
225,Dragan Mladenović,MF,28
226,Mikel Arteta,MF,1
227,Imanol Agirretxe,FW,1
228,Juan Domínguez,FW,1
229,Javier Garrido,DF,1
230,Álvaro Novo,MF,1
231,Gaizka Garitano,MF,1
232,Morten Skoubo,FW,7
233,Ion Ansotegi,DF,1
234,Mark González,"FW,MF",31
235,Daniel Cifuentes,DF,1
236,Jhon Viáfara,MF,19
237,Dalibor Stevanović,MF,32
238,Mikel González,DF,1
239,Iñigo Díaz de Cerio,FW,1
240,Claudio Bravo,GK,31
241,Gerardo,"DF,MF",1
242,Juanito,"DF,MF",1
243,Diego Rivas,MF,1
244,Sávio,MF,2
245,Víctor López,DF,5
246,Germán Herrera,FW,5
247,Jesuli,MF,1
248,Dani Estrada,"DF,MF",1
249,Gorka Elustondo,"DF,MF",1
250,Fábio Felício,"FW,MF",3
251,Xabier Castillo,DF,16
252,Andrija Delibašić,FW,33
253,José Luis Martí,MF,1
254,Carlos Martínez,DF,1
255,Nacho,"DF,MF",1
256,Víctor Casadesús,FW,1
257,Fran Mérida,MF,1
258,David Vaughan,MF,18
259,Markel Bergara,MF,1
260,Iñigo Sarasola,DF,1
261,Borja Viguera,FW,1
262,Moha,"DF,FW",26
263,Sergio Rodríguez,MF,1
264,Sebastián Abreu,FW,8
265,Necati Ateş,"FW,MF",15
266,Eñaut Zubikarai,GK,1
267,Javier Ros,MF,1
268,Toño Ramírez,GK,1
269,Boukary Dramé,"DF,MF",34
270,Alain Eizmendi,"DF,MF",1
271,Giovanni Sio,"FW,MF",35
272,David Zurutuza,MF,1
273,Antoine Griezmann,"FW,MF",4
274,Alberto de la Bella,DF,1
275,Carlos Bueno,FW,8
276,Emilio Nsue,"DF,FW",10
277,Jonathan Estrada,MF,19
278,Franck Songo'o,"FW,MF",36
279,Alex Albistegi,MF,1
280,Raúl Tamudo,FW,1
281,Vadim Demidov,"DF,MF",21
282,Francisco Sutil,"DF,FW",1
283,Diego Ifrán,FW,8
284,Jeffrey Sarpong,MF,11
285,Carlos Vela,"FW,MF",20
286,Iñigo Martínez,DF,1
287,Liassine Cadamuro,DF,37
288,McDonald Mariga,MF,38
289,Rubén Pardo,MF,1
290,Chory Castro,"FW,MF",8
291,José Ángel,DF,1
292,Joseba Zaldúa,DF,1
293,Haris Seferović,FW,39
294,Jon Gaztañaga,"DF,MF",1
295,Marco Sangalli,"FW,MF",1
296,Pablo Hervías,MF,1
297,Gerónimo Rulli,GK,5
298,Yuri Berchiche,DF,1
299,Alfreð Finnbogason,FW,40
300,Eneko Capilla,MF,1
301,Iker Hernández,FW,1
302,Ander Bardají,GK,1
303,Alain Oyarzun,"FW,MF",1
304,Alejandro Sanz,MF,1
305,Aritz Elustondo,DF,1
306,Diego Reyes,"DF,MF",20
307,Jonathas,FW,2
308,Mikel Oyarzabal,"FW,MF",1
309,Bruma,"MF,FW",3
310,Héctor Hernández,"DF,FW",1
311,Oier Olazábal,GK,1
312,Jon Bautista,FW,1
313,Igor Zubeldia,"DF,MF",1
