2002-2003,Levante
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Carballo Felix,,,41,41,1,5,"3,642",40.5,7,0,No detected,,
Christian Díaz,ar ARG,"DF,MF",39,39,2,0,"3,416",38.0,9,2,/en/players/4c6f6ef4/Christian-Diaz,4c6f6ef4,Christian-Diaz
Santiago Carpintero,es ESP,MF,38,38,1,0,"3,315",36.8,13,1,/en/players/139b88a8/Santiago-Carpintero,139b88a8,Santiago-Carpintero
Gabriel Amato,ar ARG,FW,39,38,2,14,"3,105",34.5,10,0,/en/players/eb571f57/Gabriel-Amato,b571f57,Gabriel-Amato
Iñaki Descarga,es ESP,DF,37,35,0,2,"3,174",35.3,11,1,/en/players/a4c20d02/Inaki-Descarga,4c20d02,Inaki-Descarg
Tomás Olías,es ESP,DF,35,35,0,0,"3,069",34.1,10,1,/en/players/74795116/Tomas-Olias,74795116,Tomas-Oli
Jofre,es ESP,MF,37,34,5,5,"2,781",30.9,9,0,/en/players/90bf887c/Jofre,90bf887c,Jof
David Limones,,,39,34,8,7,"2,739",30.4,1,0,No detected,,
Gomez Rafa,,,34,33,0,0,"2,978",33.1,4,0,No detected,,
Alberto Rivera,es ESP,MF,35,28,4,1,"2,640",29.3,4,0,/en/players/7002b605/Alberto-Rivera,7002b605,Alberto-Riv
Predrag Mijatović,rs SRB,"FW,MF",21,21,6,3,"1,487",16.5,1,2,/en/players/1191c3d6/Predrag-Mijatovic,1191c3d6,Predrag-Mijatovic
Francisco Castaño,es ESP,MF,21,16,1,1,"1,396",15.5,4,3,/en/players/72dad144/Francisco-Castano,72dad144,Francisco-Castano
Edwin Congo,co COL,FW,32,14,3,9,"1,519",16.9,4,0,/en/players/08925878/Edwin-Congo,08925878,Edwin-Congo
Duda,pt POR,"DF,FW",19,8,0,2,784,8.7,4,0,/en/players/13d41642/Duda,13d41642,Dud
José Aizpurúa,es ESP,GK,9,8,0,0,712,7.9,0,1,/en/players/c7bb97a7/Jose-Aizpurua,c7bb97a7,Jose-Aizpuru
Chota,es ESP,FW,27,7,0,4,884,9.8,3,0,/en/players/6e8a6c53/Chota,6e8a6c53,Chot
Ángel Lekumberri,es ESP,MF,11,7,0,0,624,6.9,1,1,/en/players/a7f69653/Angel-Lekumberri,7f69653,Angel-Lekumberri
Félix Dja Ettien,ci CIV,MF,33,6,1,3,"1,107",12.3,3,1,/en/players/4c443cac/Felix-Dja-Ettien,4c443cac,Felix-Dja-Etti
Domingo Larrainzar,es ESP,DF,5,4,0,0,395,4.4,0,0,/en/players/747cdf38/Domingo-Larrainzar,747cdf38,Domingo-Larrainz
Munoz Servulo,,,10,4,2,2,387,4.3,0,0,No detected,,
Juanra,es ESP,DF,11,4,0,3,383,4.3,1,0,/en/players/616d9a30/Juanra,616d9a30,Ju
Peiro Alfonso,,,4,4,0,0,272,3.0,0,0,No detected,,
Jorge Ruiz,,,3,3,0,0,229,2.5,1,0,No detected,,
Paco,es ESP,GK,1,1,0,0,90,1.0,0,0,/en/players/703b3fd8/Paco,703b3fd8,Paco
Luismi,es ESP,"FW,MF",1,0,0,0,66,0.7,0,0,/en/players/f345089d/Luismi,f345089d,Luismi
Jose Rial,,,3,0,0,0,64,0.7,0,0,No detected,,
Francisco Coscolla,,,1,0,0,0,4,0.0,0,0,No detected,,
