Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB
,﻿Simone Perrotta,it ITA,MF,32,32,4.0,1.0,2002-2003,12fedefa,Chievo,"2,769",30.8,8.0,0.0,166.0,9.0,
,Salvatore Lanna,it ITA,DF,31,31,4.0,0.0,2002-2003,2a630473,Chievo,"2,593",28.8,4.0,1.0,166.0,9.0,
,Nicola Legrottaglie,it ITA,DF,30,30,0.0,4.0,2002-2003,c3c63a36,Chievo,"2,700",30.0,11.0,0.0,166.0,9.0,
,Eugenio Corini,it ITA,MF,30,30,9.0,5.0,2002-2003,cb7ea0e3,Chievo,"2,679",29.8,9.0,1.0,166.0,9.0,
,Fabio Moro,it ITA,DF,29,29,1.0,0.0,2002-2003,0ef0e027,Chievo,"2,596",28.8,8.0,0.0,166.0,9.0,
,Daniele Franceschini,it ITA,MF,32,29,5.0,4.0,2002-2003,3dc8f35c,Chievo,"2,426",27.0,2.0,0.0,166.0,9.0,
,Lorenzo D'Anna,it ITA,DF,27,27,0.0,2.0,2002-2003,6364abd3,Chievo,"2,396",26.6,7.0,1.0,166.0,9.0,
,Cristiano Lupatelli,it ITA,GK,26,26,0.0,0.0,2002-2003,0fb9a389,Chievo,"2,340",26.0,2.0,0.0,166.0,9.0,
,Federico Cossato,it ITA,FW,26,25,1.0,9.0,2002-2003,615d33df,Chievo,"2,021",22.5,5.0,0.0,166.0,9.0,
,Luciano,br BRA,MF,16,16,1.0,1.0,2002-2003,11adc5e8,Chievo,"1,235",13.7,2.0,0.0,166.0,2.0,
,Oliver Bierhoff,de GER,FW,26,15,0.0,7.0,2002-2003,dbb8741e,Chievo,"1,547",17.2,1.0,1.0,166.0,13.0,
,Sergio Pellissier,it ITA,FW,24,12,6.0,5.0,2002-2003,878ee034,Chievo,"1,172",13.0,1.0,0.0,166.0,9.0,
,Massimo Marazzina,it ITA,FW,15,12,,3.0,2002-2003,8b0f45d8,Chievo,986,11.0,0.0,0.0,166.0,9.0,
,Ivano Della Morte,it ITA,MF,24,8,1.0,4.0,2002-2003,7b826a43,Chievo,914,10.2,0.0,0.0,166.0,9.0,
,Marco Ambrosio,it ITA,GK,8,8,0.0,0.0,2002-2003,055b2cff,Chievo,720,8.0,2.0,0.0,166.0,9.0,
,Saša Bjelanović,hr CRO,FW,12,8,,4.0,2002-2003,192f6c2b,Chievo,592,6.6,2.0,0.0,166.0,16.0,
,John Mensah,gh GHA,DF,11,7,0.0,0.0,2002-2003,142ed694,Chievo,753,8.4,4.0,0.0,166.0,17.0,
,Stefano Lorenzi,it ITA,DF,10,7,0.0,0.0,2002-2003,68c13467,Chievo,702,7.8,2.0,0.0,166.0,9.0,
,Daniel Andersson,se SWE,"DF,MF",13,3,1.0,0.0,2002-2003,b12ba903,Chievo,383,4.3,3.0,1.0,166.0,41.0,
,Emanuele Pesaresi,it ITA,DF,7,3,0.0,0.0,2002-2003,6d94c37b,Chievo,279,3.1,1.0,0.0,166.0,9.0,
,Dario Passoni,it ITA,MF,6,3,1.0,0.0,2002-2003,3b677966,Chievo,251,2.8,0.0,0.0,166.0,9.0,
,Luigi Beghetto,it ITA,FW,8,2,0.0,0.0,2002-2003,c1124dd1,Chievo,302,3.4,1.0,0.0,166.0,9.0,
,Lilian Nalis,fr FRA,MF,8,1,0.0,0.0,2002-2003,dfe37369,Chievo,278,3.1,1.0,0.0,166.0,4.0,
,Ivone De Franceschi,it ITA,MF,6,1,1.0,2.0,2002-2003,21fc1e8d,Chievo,154,1.7,1.0,0.0,166.0,9.0,
,Gianluca Grassadonia,it ITA,DF,2,1,0.0,0.0,2002-2003,367018bb,Chievo,106,1.2,0.0,0.0,166.0,9.0,
,Maurizio D'Angelo,it ITA,DF,1,1,0.0,0.0,2002-2003,7ee9c38a,Chievo,90,1.0,0.0,0.0,166.0,9.0,
,Marcos de Paula,br BRA,FW,2,0,0.0,0.0,2002-2003,db0764ad,Chievo,30,0.3,0.0,0.0,166.0,2.0,
,﻿Fabio Moro,it ITA,DF,32,32,0.0,0.0,2003-2004,0ef0e027,Chievo,"2,880",32.0,6.0,0.0,166.0,9.0,
,Salvatore Lanna,it ITA,DF,32,30,0.0,3.0,2003-2004,2a630473,Chievo,"2,733",30.4,7.0,0.0,166.0,9.0,
,Simone Perrotta,it ITA,MF,31,30,1.0,1.0,2003-2004,12fedefa,Chievo,"2,728",30.3,10.0,0.0,166.0,9.0,
,Federico Cossato,it ITA,FW,31,30,0.0,6.0,2003-2004,615d33df,Chievo,"2,458",27.3,2.0,0.0,166.0,9.0,
,Luca Marchegiani,it ITA,GK,29,29,0.0,0.0,2003-2004,3ed24e,Chievo,"2,452",27.2,1.0,1.0,166.0,9.0,
